ax,ay,az,gx,gy,gz
-0.037109,-0.037354,-0.968018,-6.870229,0.335878,0.801527
-0.026611,-0.031982,-0.953125,-5.297710,0.603053,0.213740
-0.028320,-0.014648,-0.942383,-5.480916,0.000000,0.267176
-0.035156,-0.042969,-0.955566,-4.038168,0.847328,-0.358779
-0.028320,-0.017090,-0.937500,-3.244275,1.259542,-1.290076
-0.030762,-0.009521,-0.930908,-5.961832,0.748092,0.519084
-0.028809,-0.026123,-0.957031,-6.335878,0.587786,0.709924
-0.034424,-0.028564,-0.931885,-5.190840,0.618321,0.320611
-0.032227,-0.017822,-0.938721,-5.335878,-0.687023,0.419847
-0.030518,-0.028564,-0.953369,-5.030534,0.229008,-0.053435
-0.031494,-0.021729,-0.944824,-4.610687,1.351145,-0.389313
-0.031006,-0.020264,-0.951172,-3.709924,1.129771,-0.267176
-0.026123,-0.014160,-0.940918,-4.427481,1.083969,0.030534
-0.031494,-0.023193,-0.937012,-5.809160,0.450382,0.320611
-0.032959,-0.022461,-0.940430,-6.419847,-0.381679,0.190840
-0.034912,-0.025635,-0.938721,-4.389313,-1.137405,-0.076336
-0.033447,-0.020264,-0.942627,-4.793893,-0.931298,-0.091603
-0.031738,-0.026123,-0.947998,-5.763359,-1.000000,0.419847
-0.028076,-0.026367,-0.943848,-4.786260,-0.694656,-0.091603
-0.035156,-0.027588,-0.946777,-6.038168,0.847328,-0.618321
-0.035645,-0.019043,-0.946777,-6.442748,0.519084,-0.450382
-0.034912,-0.028564,-0.960693,-3.702290,0.213740,-0.183206
-0.032715,-0.026855,-0.959961,-3.213740,2.221374,-0.641221
-0.032227,-0.017822,-0.934814,-5.488550,1.763359,-0.335878
-0.040039,-0.022705,-0.937988,-5.473282,-0.053435,-0.022901
-0.032959,-0.019043,-0.944092,-5.106870,-0.030534,-0.038168
-0.034912,-0.020752,-0.935059,-4.732824,-0.106870,0.251908
-0.032471,-0.026855,-0.947998,-4.748092,-0.183206,0.022901
-0.029297,-0.025146,-0.948975,-5.526718,0.717557,-0.061069
-0.036621,-0.018799,-0.949951,-4.541985,1.488550,-0.351145
-0.035400,-0.017822,-0.932617,-4.259542,1.404580,-0.862595
-0.028809,-0.017822,-0.948975,-5.748092,0.358779,-0.503817
-0.037354,-0.028320,-0.954590,-4.793893,0.923664,-0.412214
-0.031006,-0.025635,-0.938477,-2.977099,0.893130,-0.832061
-0.036377,-0.018311,-0.930908,-4.954198,0.015267,0.114504
-0.034668,-0.027832,-0.958008,-5.412214,0.274809,0.015267
-0.029297,-0.028564,-0.950439,-5.366412,1.809160,-0.946565
-0.042969,-0.015381,-0.917725,-4.229008,-1.045802,-0.511450
-0.035156,-0.021973,-0.951904,-3.847328,-2.236641,-0.335878
-0.032227,-0.019287,-0.948975,-4.847328,-1.404580,-0.511450
-0.035645,-0.026367,-0.949219,-4.572519,-0.389313,-0.221374
-0.038574,-0.035645,-0.952393,-2.167939,0.465649,-1.496183
-0.044189,-0.020996,-0.940674,-0.648855,1.389313,-2.145038
-0.025879,-0.017090,-0.942383,-3.916031,2.648855,-0.923664
-0.038086,-0.039063,-0.934326,-5.809160,2.305344,-0.633588
