ax,ay,az,gx,gy,gz
-0.970947,0.031494,0.202881,-7.503817,4.412214,-7.557252
-0.975586,0.026367,0.231445,-5.190840,4.091603,-7.152672
-0.993652,0.062500,0.220215,0.480916,2.587786,-5.740458
-0.988770,0.063477,0.209717,-2.709924,2.335878,-5.045802
-0.979736,0.035156,0.212402,-4.435114,1.557252,-5.694656
-0.994873,0.030518,0.231445,-3.412214,3.053435,-5.267176
-0.979736,0.037598,0.212402,-1.923664,4.480916,-4.129771
-0.980225,0.028809,0.218506,-1.977099,5.625954,-4.526718
-0.982666,0.030762,0.206787,-3.000000,6.931298,-5.160306
-0.995117,0.027100,0.206299,-0.305344,5.961832,-4.824428
-0.991943,0.031006,0.183105,-0.106870,3.290076,-4.450382
-0.986572,0.025879,0.199951,-2.610687,3.145038,-4.061069
-0.984619,0.022705,0.201172,-1.748092,4.709924,-2.801527
-0.977783,0.027344,0.195801,-1.213740,6.519084,-3.625954
-0.988525,0.020996,0.186523,-3.244275,7.610687,-3.526718
-0.988525,0.019287,0.184814,-3.435115,7.106870,-3.251908
-0.987305,0.025635,0.164063,-3.732824,6.641222,-0.404580
-0.988770,0.022217,0.194580,-4.274809,5.343512,-0.419847
-0.993164,0.016602,0.181396,-4.076336,4.526718,-0.190840
-0.993408,0.028564,0.191162,-2.183206,3.587786,-0.564885
-0.987061,0.016602,0.177002,-4.992366,3.137405,-0.053435
-0.986328,0.023438,0.181641,-5.229008,2.442748,0.038168
-0.994385,0.020996,0.175293,-5.038168,4.068702,-0.190840
-0.991455,0.023438,0.169434,-4.916030,4.015267,-0.076336
-0.988037,0.016113,0.186523,-4.893130,3.511450,-0.053435
-0.986572,0.019043,0.180420,-4.633588,4.694656,-0.076336
-0.993652,0.015625,0.165771,-4.427481,5.244275,-0.404580
-0.991211,0.027100,0.167725,-4.938931,2.114504,-0.053435
-0.989990,0.011719,0.165039,-4.664122,2.366412,-0.183206
-0.992188,0.026123,0.163330,-4.839694,3.885496,-0.099237
-0.989502,0.020508,0.162598,-4.618320,3.862595,-0.221374
-0.986572,0.018799,0.164307,-4.587786,2.603053,-0.274809
-0.989990,0.010010,0.164551,-4.893130,2.641221,-0.007634
-0.999756,0.023438,0.140381,-5.213740,1.671756,-0.076336
-0.987549,0.015625,0.157471,-4.770992,1.251908,-0.045802
-0.986328,0.021973,0.165771,-4.893130,0.625954,-0.152672
-1.000488,0.019531,0.134766,-5.320611,1.251908,0.030534
-0.986816,0.027832,0.161377,-4.679389,1.328244,-0.061069
-0.993164,0.018799,0.165771,-4.603054,2.343511,-0.106870
-0.992432,0.017578,0.161133,-4.541985,3.267176,-0.213740
-1.000000,0.017090,0.159912,-4.671756,2.603053,-0.152672
-0.984619,0.017334,0.161865,-4.923664,2.068702,-0.091603
-0.993164,0.018311,0.151367,-4.725191,1.603053,-0.076336
-0.994629,0.015137,0.147705,-5.038168,0.954198,-0.030534
-0.988281,0.019531,0.159912,-4.954198,0.763359,-0.122137
-0.987061,0.020752,0.155273,-4.923664,0.259542,0.000000
-0.992920,0.015381,0.156982,-4.770992,-0.045802,-0.091603
-0.993652,0.017578,0.162598,-4.740458,-0.267176,-0.091603
-0.989502,0.019531,0.164551,-4.793893,0.129771,-0.137405
-0.990234,0.016846,0.161377,-4.969466,0.923664,-0.213740
-0.990234,0.026123,0.158447,-4.900764,1.106870,-0.076336
-0.992676,0.024170,0.162598,-4.755725,0.770992,-0.007634
-0.995605,0.014404,0.158936,-5.045802,-0.122137,0.083969
-0.986328,0.020264,0.163818,-4.931298,-0.083969,-0.030534
-0.985840,0.023926,0.153564,-4.641222,0.213740,-0.061069
-0.991699,0.018555,0.157959,-4.793893,0.206107,-0.175573
-0.992432,0.022949,0.157227,-5.015267,0.358779,-0.122137
-0.989746,0.018066,0.160400,-4.847328,0.473282,-0.183206
-0.991455,0.018799,0.156494,-4.969466,0.610687,-0.114504
-0.993896,0.021240,0.159180,-4.748092,0.748092,-0.099237
-0.992676,0.016846,0.151855,-4.870229,0.702290,-0.152672
-0.983398,0.021484,0.160400,-4.839694,0.572519,-0.129771
-0.992188,0.014160,0.167236,-4.625954,1.000000,-0.068702
-0.992432,0.024658,0.162598,-4.664122,1.175573,-0.106870
-0.987305,0.024170,0.155762,-4.908397,0.763359,-0.145038
-0.989502,0.007813,0.162842,-4.862596,1.030534,-0.145038
-0.992920,0.020508,0.156006,-4.786260,0.801527,-0.114504
-0.986328,0.017822,0.165039,-4.801527,1.412214,-0.122137
-0.992432,0.018555,0.163086,-4.877862,1.267176,-0.076336
-0.990479,0.022705,0.153564,-4.946565,0.603053,-0.145038
-0.990723,0.023682,0.159912,-4.877862,0.290076,-0.175573
-0.986328,0.018799,0.159912,-4.625954,0.938931,0.015267
-0.991211,0.020508,0.154053,-4.603054,1.259542,-0.274809
-0.992188,0.023438,0.164795,-4.893130,1.435115,-0.076336
-0.988770,0.019775,0.160889,-4.854962,1.419847,-0.129771
-0.988037,0.017578,0.157715,-4.748092,1.213740,-0.236641
-0.989746,0.020020,0.154297,-4.847328,1.076336,-0.183206
-0.992432,0.019775,0.156738,-4.717557,0.992366,-0.206107
-0.993164,0.020508,0.163086,-4.595420,0.824427,-0.015267
-0.993896,0.017334,0.158936,-4.694656,0.923664,-0.083969
-0.994629,0.022217,0.157227,-4.870229,0.916031,-0.160305
-0.992920,0.017090,0.157227,-4.870229,1.129771,-0.114504
-0.997803,0.016357,0.155518,-5.030534,0.870229,-0.076336
-0.988525,0.013916,0.157471,-4.839694,0.656489,0.022901
-0.991455,0.021240,0.149414,-4.977099,0.358779,-0.030534
-0.995361,0.022949,0.149902,-4.633588,0.465649,-0.152672
-0.986816,0.016846,0.151367,-4.893130,0.221374,0.030534
-0.989258,0.012451,0.159912,-4.824428,0.183206,-0.053435
-0.998047,0.021484,0.152344,-5.030534,0.190840,0.000000
-0.988281,0.021729,0.152832,-5.045802,-0.030534,-0.106870
-0.985352,0.012451,0.161865,-4.541985,-0.312977,-0.175573
-0.992676,0.018555,0.151367,-4.862596,-0.274809,-0.190840
-0.991699,0.018555,0.162842,-4.954198,-0.419847,-0.030534
-0.991943,0.020020,0.158447,-5.091603,-0.160305,-0.068702
-0.985352,0.024414,0.156738,-4.870229,0.038168,-0.129771
-0.990479,0.018311,0.153320,-4.870229,-0.480916,-0.213740
-0.998535,0.017334,0.158447,-4.923664,-0.664122,-0.015267
-0.995117,0.018311,0.160400,-4.908397,-0.793893,0.083969
-0.991211,0.022705,0.159668,-5.038168,-0.725191,-0.076336
-0.993652,0.019043,0.160156,-5.000000,-0.763359,-0.122137
