ax,ay,az,gx,gy,gz
-0.079834,-0.020264,1.081787,-4.458015,1.167939,0.290076
-0.077637,-0.001953,1.083252,-5.870229,1.045802,-0.122137
-0.075684,-0.012451,1.086914,-6.748092,0.229008,-0.694656
-0.077637,-0.020264,1.097656,-5.763359,0.564885,-0.541985
-0.081055,-0.021240,1.086182,-4.526718,1.145038,-0.022901
-0.078857,-0.009766,1.097900,-5.396946,-0.229008,-0.610687
-0.077637,-0.012207,1.082764,-5.824428,-0.381679,-0.572519
-0.080811,-0.022949,1.088379,-5.450382,0.274809,0.007634
-0.079346,-0.021484,1.089355,-4.129771,1.427481,0.465649
-0.079346,-0.002930,1.087646,-5.267176,0.374046,-0.320611
-0.084473,-0.012207,1.086182,-5.534351,0.183206,-0.580153
-0.077881,-0.028320,1.087158,-4.381680,1.129771,0.114504
-0.080322,-0.016357,1.093506,-3.900763,2.099237,0.618321
-0.071045,-0.009277,1.085693,-3.633588,1.931298,0.984733
-0.075684,-0.017578,1.086182,-4.541985,0.656489,-0.290076
-0.079834,-0.014404,1.085938,-4.832061,0.557252,-0.175573
-0.086426,-0.006348,1.084961,-5.656488,0.717557,-0.290076
-0.081299,-0.015625,1.077148,-6.374046,0.633588,-0.717557
-0.073242,-0.011963,1.087891,-4.809160,0.427481,-0.557252
-0.085938,-0.011963,1.078857,-4.175572,0.267176,-0.396947
-0.084717,-0.020508,1.097168,-6.427481,-0.190840,-0.236641
-0.078613,-0.018555,1.079346,-5.778626,0.435115,-0.053435
-0.074463,-0.019043,1.104736,-4.961832,0.595420,-0.015267
-0.078613,-0.019043,1.067139,-4.343512,1.030534,0.183206
-0.085693,-0.017090,1.096680,-5.343512,0.274809,-0.381679
-0.076172,-0.016602,1.084229,-5.206107,0.473282,-0.083969
-0.080566,-0.017578,1.096436,-4.038168,0.534351,0.549618
-0.084717,-0.011475,1.075684,-5.412214,0.847328,-0.572519
-0.082275,-0.018799,1.093506,-5.564886,-0.442748,-0.572519
-0.079346,-0.013916,1.081787,-5.305344,0.351145,-0.282443
-0.080078,-0.007813,1.075928,-5.091603,0.496183,-0.648855
-0.080078,-0.016846,1.107178,-4.282443,0.335878,-0.244275
-0.087158,-0.026123,1.072266,-5.465649,0.091603,-0.213740
-0.088623,-0.009521,1.091797,-5.198473,0.381679,0.587786
-0.074707,-0.011230,1.079346,-4.274809,0.473282,0.213740
-0.078613,-0.024658,1.092529,-4.610687,0.290076,-0.167939
-0.089111,-0.017334,1.093750,-5.511450,-0.007634,-0.244275
-0.075928,-0.015625,1.089600,-5.053435,0.251908,-0.038168
-0.083252,-0.018311,1.082031,-4.618320,0.374046,0.076336
-0.085938,-0.021973,1.092041,-3.778626,0.908397,0.503817
-0.082764,-0.029541,1.087646,-3.290076,1.099237,0.709924
-0.087891,-0.011475,1.087891,-4.740458,0.465649,-0.297710
-0.084473,-0.014160,1.080078,-5.709924,-0.541985,-0.816794
-0.085693,-0.015869,1.088379,-5.862596,0.435115,-0.549618
-0.075195,-0.006592,1.088379,-5.152672,0.740458,0.114504
-0.088379,-0.010254,1.077393,-5.083970,0.572519,-0.068702
-0.085205,-0.016113,1.085693,-6.450382,-0.152672,-0.396947
-0.075928,-0.023438,1.086426,-5.374046,0.671756,-0.007634
-0.082031,-0.014160,1.080566,-4.709924,0.396947,-0.038168
-0.086426,-0.002930,1.084229,-5.030534,0.236641,-0.206107
-0.080811,-0.017578,1.085693,-5.687023,-0.282443,-0.068702
-0.084717,-0.015137,1.087646,-5.328244,0.496183,0.137405
-0.071533,-0.017090,1.080322,-5.038168,0.549618,0.045802
-0.082031,-0.012695,1.087402,-4.770992,0.496183,-0.320611
-0.073975,-0.016357,1.094971,-5.564886,0.244275,-0.793893
-0.083984,-0.019043,1.090576,-5.458015,0.549618,-0.526718
-0.084717,-0.011230,1.096191,-4.618320,0.961832,-0.389313
-0.073486,-0.009766,1.088623,-4.732824,0.412214,-0.419847
-0.094971,-0.015869,1.079346,-4.916030,0.282443,-0.381679
-0.080811,-0.023438,1.084961,-5.236641,0.633588,0.251908
-0.078613,-0.009521,1.090820,-3.870229,0.931298,0.641221
-0.078613,-0.014404,1.087402,-5.603054,0.305344,-0.412214
-0.072754,-0.009521,1.087646,-6.000000,-0.061069,-0.290076
-0.074463,-0.020996,1.093262,-5.534351,0.511450,-0.244275
-0.076904,-0.017578,1.088379,-5.022901,0.709924,-0.015267
-0.075928,-0.012207,1.093018,-4.809160,0.679389,-0.320611
-0.078125,-0.014404,1.092041,-4.358778,0.519084,-0.190840
-0.080566,-0.014404,1.074707,-4.557252,1.183206,0.122137
-0.078613,-0.009033,1.088379,-5.236641,0.687023,-0.282443
-0.076660,-0.012939,1.089355,-4.480916,0.503817,-0.030534
-0.084473,-0.020020,1.094971,-4.763359,0.595420,-0.244275
-0.081299,-0.015137,1.086182,-4.465649,0.770992,0.259542
-0.086182,-0.011719,1.087646,-5.755725,0.137405,-0.625954
-0.081299,-0.020264,1.082764,-5.938931,-0.282443,-0.862595
-0.081543,-0.020996,1.087891,-4.702290,0.511450,0.099237
-0.082520,-0.017578,1.082275,-4.900764,0.687023,-0.328244
-0.078369,-0.011963,1.087646,-5.450382,0.068702,-0.534351
-0.085449,-0.018311,1.089844,-5.908397,-0.442748,-0.435115
-0.078613,-0.020752,1.084473,-4.641222,0.687023,0.343511
-0.072510,-0.019043,1.087158,-4.908397,0.656489,-0.106870
-0.082520,-0.016113,1.084473,-5.954198,0.198473,-0.839695
-0.089844,-0.015625,1.087158,-5.106870,0.076336,-0.183206
-0.074951,-0.023926,1.080566,-4.152672,0.648855,0.190840
-0.087891,-0.003662,1.080078,-5.770992,0.091603,-0.679389
-0.081543,-0.022949,1.086670,-5.244275,0.137405,-0.076336
-0.078857,-0.021729,1.096436,-4.465649,0.984733,0.541985
-0.075928,-0.015381,1.078857,-3.717557,1.030534,0.969466
-0.076904,-0.009766,1.078857,-5.419847,0.832061,-0.435115
-0.080322,-0.015869,1.076172,-6.404580,0.213740,-0.625954
-0.076660,-0.020264,1.094727,-5.671756,0.664122,-0.061069
-0.078125,-0.009521,1.084473,-4.290076,1.045802,0.450382
-0.082031,-0.012451,1.081055,-4.419847,1.030534,0.473282
-0.072754,-0.015137,1.082764,-5.641222,0.145038,-0.083969
-0.072266,-0.020508,1.102295,-3.900763,0.633588,0.167939
-0.074951,-0.013672,1.080811,-3.877863,1.404580,0.381679
-0.088867,-0.009033,1.085449,-4.412214,1.000000,0.480916
-0.081055,-0.010498,1.084961,-4.801527,0.748092,-0.167939
-0.083984,-0.008301,1.095215,-5.442748,0.015267,-0.503817
-0.088867,-0.020508,1.088379,-4.717557,0.610687,0.122137
-0.080078,-0.015625,1.084229,-5.213740,0.412214,0.152672
-0.079346,-0.011719,1.077393,-7.221374,-0.251908,-0.198473
-0.072998,-0.017090,1.092285,-4.778626,0.748092,-0.274809
-0.081787,-0.010254,1.083252,-4.045802,0.900763,0.221374
-0.084473,-0.007813,1.092773,-5.610687,0.251908,-0.137405
-0.080322,-0.009033,1.093262,-5.877862,0.198473,-0.343511
