ax,newAx,lin_ax,new_lin_ax
-0.9963,-0.0468,0.0000,0.0010
-0.9910,-0.0466,0.1202,0.0017
-0.9993,-0.0475,0.0000,0.0010
-0.9937,-0.0462,0.1222,0.0019
-0.9907,-0.0472,0.0000,0.0011
-0.9922,-0.0464,0.1236,0.0019
-0.9922,-0.0471,0.0000,0.0012
-0.9905,-0.0463,0.1252,0.0020
-0.9963,-0.0475,0.0000,0.0012
-0.9958,-0.0464,0.1267,0.0021
-0.9932,-0.0472,0.0000,0.0013
-0.9919,-0.0463,0.1283,0.0022
-0.9929,-0.0472,0.0000,0.0013
-0.9968,-0.0468,0.1294,0.0022
-0.9946,-0.0470,0.0000,0.0015
-0.9858,-0.0460,0.1317,0.0023
-0.9924,-0.0475,0.0000,0.0015
-0.9893,-0.0458,0.1334,0.0024
-0.9954,-0.0479,0.0000,0.0015
-0.9910,-0.0456,0.1352,0.0026
-0.9895,-0.0475,0.0000,0.0015
-1.0020,-0.0469,0.1354,0.0026
-1.0083,-0.0481,0.0000,0.0015
-0.9924,-0.0456,0.1381,0.0028
-0.9895,-0.0476,0.0000,0.0015
-0.9995,-0.0467,0.1384,0.0028
-1.0142,-0.0488,0.0000,0.0015
-1.0103,-0.0465,0.1398,0.0030
-0.9905,-0.0468,0.0000,0.0017
-0.9939,-0.0468,0.1406,0.0029
-1.0386,-0.0508,0.0000,0.0015
-0.9634,-0.0404,0.1479,0.0038
-0.9504,-0.0487,0.0000,0.0010
-0.9333,-0.0396,0.1493,0.0043
-0.9072,-0.0456,0.0000,0.0007
-0.8665,-0.0365,0.1529,0.0049
-0.7527,-0.0345,0.0000,0.0013
-0.7515,-0.0362,0.1537,0.0044
-0.7346,-0.0332,0.1571,0.0019
-0.6936,-0.0323,0.1582,0.0043
-0.6235,-0.0268,0.1639,0.0026
-0.6846,-0.0373,0.1537,0.0032
-0.4431,-0.0060,0.1838,0.0054
-0.3813,-0.0289,0.0000,0.0014
-0.3987,-0.0096,0.1798,0.0067
-0.2688,-0.0155,0.0000,0.0014
-0.2581,-0.0092,0.1806,0.0068
-0.2000,-0.0097,0.1795,0.0018
-0.1375,-0.0036,0.1847,0.0068
-0.1594,-0.0111,0.0000,0.0015
-0.7974,-0.0617,0.1267,0.0018
0.2185,0.0758,0.2634,0.0138
0.0017,-0.0688,0.1191,-0.0101
0.0610,0.0681,0.2552,0.0239
-0.1965,-0.0797,0.1078,-0.0203
0.0659,0.0784,0.2656,0.0342
-0.0693,-0.0776,0.1099,-0.0294
0.0146,0.0719,0.2591,0.0419
0.0127,-0.0643,0.1232,-0.0352
0.0669,0.0646,0.2517,0.0465
-0.0225,-0.0608,0.1267,-0.0391
-0.0806,0.0481,0.2351,0.0485
-0.0498,-0.0482,0.1392,-0.0399
-0.0286,0.0413,0.2283,0.0486
0.0203,-0.0358,0.1515,-0.0388
0.0188,0.0342,0.2211,0.0470
-0.0032,-0.0314,0.1557,-0.0370
0.0232,0.0307,0.2173,0.0450
0.2129,-0.0088,0.1771,-0.0332
-0.0310,0.0052,0.1908,0.0392
-0.0732,-0.0113,0.1737,-0.0282
-0.0156,0.0089,0.1935,0.0349
0.0254,-0.0058,0.1780,-0.0240
0.0164,0.0068,0.1901,0.0307
0.0120,-0.0051,0.1775,-0.0202
0.0181,0.0062,0.1883,0.0271
0.0110,-0.0047,0.1767,-0.0170
0.0068,0.0049,0.1857,0.0239
0.0154,-0.0031,0.1770,-0.0141
0.0059,0.0033,0.1828,0.0210
0.0027,-0.0028,0.1759,-0.0115
0.0107,0.0035,0.1815,0.0186
0.0032,-0.0029,0.1744,-0.0095
0.0034,0.0029,0.1795,0.0165
0.0017,-0.0025,0.1733,-0.0077
0.0105,0.0032,0.1783,0.0148
0.0090,-0.0021,0.1721,-0.0062
-0.0083,0.0012,0.1748,0.0132
0.0012,-0.0010,0.1718,-0.0047
-0.0117,-0.0002,0.1719,0.0116
0.0129,0.0013,0.1725,-0.0032
